Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
"Aircraft, C-130H","Aircraft, C-130H",Grant Authority,1/1/2019,Air Force,Philippines,Service Authorized to Supply EDA,3/18/2019,2,2,0,0,0,60000000,24000000,-60.00%,76,2868000
TRUCK CARGO M1083 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,134047,13404.7,-90.00%,442,5120.5954
TRUCK CARGO M1083A1 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,182089,18208.9,-90.00%,442,6955.7998
TRUCK CARGO M1084A1 W/MHE,TRUCK CARGO M1084A1 W/MHE,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,218378,21837.8,-90.00%,442,8342.0396
"TRUCK CARGO, M1086A1 LWB W/MHE","TRUCK CARGO, M1086A1 LWB W/MHE",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,193829,38765.8,-80.00%,442,8024.5206
"TRUCK, CARGO 2 1/2 TON M1078A1 WW","TRUCK, CARGO WOW 2 1/2 TON M1078",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,176428,17642.8,-90.00%,442,6739.5496
"TRUCK WRECKER, HEMTT M984A2","TRUCK WRECKER, HEMTT M984A2",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,491382,49138.2,-90.00%,442,18770.7924
"TRUCK WRECKER, HEMTT M984A2R1","TRUCK WRECKER, HEMTT M984A2R1",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,491382,98276.4,-80.00%,442,20343.2148
SPECIAL PURPOSE VEHICLE,SPECIAL PURPOSE VEHICLE,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,190744,19074.4,-90.00%,442,7286.4208
SPECIAL PURPOSE VEHICLE,SPECIAL PURPOSE VEHICLE,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,90744,18148.8,-80.00%,442,3756.8016
SPECIAL PURPOSE VEHICLE,SPECIAL PURPOSE VEHICLE,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,1,1,0,0,0,190744,38148.8,-80.00%,442,7896.8016
TRUCK CARGO M1083A1 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,364178,109253.4,-70.00%,442,16242.3388
TRUCK CARGO M1083A1 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,364178,72835.6,-80.00%,442,15076.9692
TRUCK CARGO M1083A1,TRUCK CARGO M1083A1,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,368666,110599.8,-70.00%,442,16442.5036
TRUCK CARGO M1083A1,TRUCK CARGO M1083A1,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,368666,36866.6,-90.00%,442,14083.0412
"TRUCK CARGO, LWB M1085A1",TRUCK CARGO M1085A1 LWB,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,340146,34014.6,-90.00%,442,12993.5772
"TRUCK WRECKER, M1089A1","TRUCK WRECKER, M1089A1",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,663360,199008,-70.00%,442,29585.856
"TRUCK, CARGO M1083A1P2 W/W","TRUCK, CARGO M1083A1P2 W/W",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,440000,88000,-80.00%,442,18216
SPECIAL PURPOSE VEHICLE,SPECIAL PURPOSE VEHICLE,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,2,2,0,0,0,381488,76297.6,-80.00%,442,15793.6032
"TRAILER, CARGO M1102","TRAILER, CARGO M1102",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,3,3,0,0,0,26862,5372.4,-80.00%,442,1112.0868
"TRUCK, CARGO 2 1/2 TON M1078A1 WW","TRUCK, CARGO WOW 2 1/2 TON M1078",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,3,3,0,0,0,529284,105856.8,-80.00%,442,21912.3576
"TRUCK WRECKER, M1089","TRUCK WRECKER, M1089",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,4,4,0,0,0,1075968,322790.4,-70.00%,442,47988.1728
TRUCK CARGO M1084 WOW,TRUCK CARGO M1084 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,5,5,0,0,0,901785,270535.5,-70.00%,442,40219.611
"TRUCK WRECKER, M1089A1","TRUCK WRECKER, M1089A1",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,7,7,0,0,0,2321760,464352,-80.00%,442,96120.864
TRUCK CARGO M1084 WOW,TRUCK CARGO M1084 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,8,8,0,0,0,1442856,288571.2,-80.00%,442,59734.2384
TRUCK CARGO M1084A1 W/MHE,TRUCK CARGO M1084A1 W/MHE,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,8,8,0,0,0,1747024,349404.8,-80.00%,442,72326.7936
"TRUCK WRECKER, M1089A1","TRUCK WRECKER, M1089A1",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,8,8,0,0,0,2653440,265344,-90.00%,442,101361.408
TRUCK CARGO M1083 WOW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,9,9,0,0,0,1152684,115268.4,-90.00%,442,44032.5288
TRUCK CARGO M1083 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,12,12,0,0,0,1608564,482569.2,-70.00%,442,71741.9544
"TRUCK WRECKER, M1089","TRUCK WRECKER, M1089",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,13,13,0,0,0,3496896,349689.6,-90.00%,442,133581.4272
"TRUCK WRECKER, M1089","TRUCK WRECKER, M1089",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,14,14,0,0,0,3765888,753177.6,-80.00%,442,155907.7632
TRUCK CARGO M1083 WOW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,20,20,0,0,0,2561520,768456,-70.00%,442,114243.792
TRUCK CARGO M1083A1,TRUCK CARGO M1083A1,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,27,27,0,0,0,4976991,995398.2,-80.00%,442,206047.4274
TRUCK CARGO M1083 WOW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,28,28,0,0,0,3586128,717225.6,-80.00%,442,148465.6992
"AN/PEQ-5 CARBINE VISIBLE LASER, GAS","AN/PEQ-5 CARBINE VISIBLE LASER, GAS",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,3/19/2019,155,155,0,0,0,71300,7130,-90.00%,442,2723.66
"Aircraft, C-130H","Aircraft, C-130H",Grant Authority,1/1/2019,Air Force,Poland,Service Authorized to Supply EDA,3/28/2019,5,5,0,0,0,150000000,60000000,-60.00%,86,7170000
"SHELTER, NONEXPANDABLE","SHELTER, NONEXPANDABLE",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Argentina,EDA Delivered,4/1/2019,2,2,0,0,1,25780,5156,-80.00%,455,1067.292
"SHELTER, NONEXPANDABLE","SHELTER, NONEXPANDABLE",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Argentina,EDA Delivered,4/1/2019,2,2,0,0,1,25780,7734,-70.00%,455,1149.788
Mi-17 Training System Boards,Mi-17 Training System Boards,Grant Authority,1/1/2018,Army,Hungary,EDA Delivered,4/2/2019,1,1,0,0,1,223470,67041,-70.00%,456,9966.762
Mi-17 Training Cutaway Boards,Mi-17 Training Cutaway Boards,Grant Authority,1/1/2018,Army,Hungary,EDA Delivered,4/2/2019,1,1,0,0,1,64720,19416,-70.00%,456,2886.512
"Mi-17 Flight Training Device, Spares","Mi-17 Flight Training Device, Spares",Grant Authority,1/1/2018,Army,Hungary,EDA Delivered,4/2/2019,1,1,0,0,1,306358.05,91907.41,-70.00%,456,13663.56887
CAMOUFLAGE AND DECEPTION EQUIPMENT,CAMOUFLAGE AND DECEPTION EQUIPMENT,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,EDA Delivered,4/2/2019,-999,None,-999,-999,-999,483431.3,145029.39,-70.00%,91,21561.03598
"MEDICAL, DENTAL AND VETERINARY EQUIPMENT AND SUPPLIES",MEDICAL/DENTAL/VETERINARY EQUIP/SUPPLIES,Grant Authority,1/1/2017,Defense Logistics Agency (DLA),Tunisia,EDA Delivered,4/5/2019,-999,None,-999,-999,-999,2091306.44,627391.93,-70.00%,824,93272.26716
ROCKET INTERFACE TEST SET,ROCKET INTERFACE TEST SET,Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,4/8/2019,2,2,0,0,2,15904,4771.2,-70.00%,462,709.3184
MMS System Processor,"PROCESSOR,SYSTEM",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,4/8/2019,2,2,0,0,2,448738,134621.4,-70.00%,462,20013.7148
"MAST MOUNTED SIGHT, PLATFORM ASSEMBLY","MAST MOUNTED SIGHT, PLATFORM ASSEMBLY",Grant Authority,1/1/2018,Army,Croatia,EDA Delivered,4/8/2019,16,16,0,0,16,6972976,2091892.8,-70.00%,462,310994.7296
"AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT","AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Croatia,EDA Delivered,4/8/2019,-999,None,-999,-999,-999,305628.14,91688.44,-70.00%,462,13631.01498
"CONTAINERS, PACKAGING AND PACKING SUPPLIES","CONTAINERS, PACKAGING, AND PACKING SUPPLIES",Grant Authority,1/1/2016,Defense Logistics Agency (DLA),Israel,EDA Delivered,4/12/2019,-999,None,-999,-999,-999,1210756,363227,-70.00%,1197,53999.724
OUTFIT AND EQUIPMENT,OUTFIT AND EQUIPMENT,Grant Authority,1/1/2019,Navy,Cameroon,Service Authorized to Supply EDA,4/18/2019,2,2,0,0,0,950080,95008,-90.00%,107,36293.056
ISLAND CLASS PATROL BOAT (WPB) WITH MID-LIFE EXTENSION,ISLAND CLASS PATROL BOAT (WPB) WITH MID-LIFE EXTENSION,Grant Authority,1/1/2019,Navy,Cameroon,Service Authorized to Supply EDA,4/18/2019,2,2,0,0,0,40507844,4050785,-90.00%,107,1547399.66
REMOTE FREQUENCY DI,REMOTE FREQUENCY DI,Grant Authority,1/1/2018,Army,Greece,EDA Delivered,4/25/2019,6,6,0,0,4,121860,36558,-70.00%,479,5434.956
"PLATFORM ASSEMBLY,C","PLATFORM ASSEMBLY,C",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,4/26/2019,24,24,0,0,24,250512,75153.6,-70.00%,480,11172.8352
HAND TOOLS,HAND TOOLS,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,EDA Delivered,4/26/2019,-999,None,-999,-999,-999,483431.3,145029.39,-70.00%,115,21561.03598
"MOUNT,RIFLE","MOUNT,RIFLE",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,4/29/2019,9,9,0,0,4,2349,704.7,-70.00%,483,104.7654
"MASTER CONTROLLER,R","MASTER CONTROLLER,R",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,4/30/2019,9,9,0,0,2,1209213,362763.9,-70.00%,484,53930.8998
"SENSOR,RATE GYRO","SENSOR,RATE GYRO",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,5/2/2019,3,3,0,0,1,31308,9392.4,-70.00%,486,1396.3368
"Battery Command Post, Guided Missle","BATTERY COMMAND POST, GUIDED MISSILE",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,1,1,0,0,0,742058,74205.8,-90.00%,122,28346.6156
"Shop Equipment, Guided Missile","SHOP EQUIMENT, GUIDED MISSILE",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,1,1,0,0,0,1366774,136677.4,-90.00%,122,52210.7668
C-130H Aircraft,"Aircraft, C-130H",Grant Authority,1/1/2019,Air Force,Chile,Service Authorized to Supply EDA,5/3/2019,2,2,0,0,0,60000000,24000000,-60.00%,122,2868000
"Loader-Transporter, Guided Missile","SIGNAL, ILLUMINATION GROUND GREEN STAR PARA",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,2,2,0,0,0,550654,55065.4,-90.00%,122,21034.9828
"Radar Set, Semitrailer Mounted","Radar Set, Semitrailer Mounted",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,2,2,0,0,0,3111240,311124,-90.00%,122,118849.368
"AIRCRAFT, C-130H","Aircraft, C-130H",Grant Authority,1/1/2019,Air Force,Jordan,Service Authorized to Supply EDA,5/3/2019,3,3,0,0,0,90000000,36000000,-60.00%,122,4302000
"Radar Set, Semitrailer Mounted","Radar Set, Semitrailer Mounted",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,4,4,0,0,0,8928908,892890.8,-90.00%,122,341084.2856
"Launcher Transporter,Guided Missile","Digital Launchers (DLN) LAUNCHER-TRANSPORTER, GUIDED MISSILE",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,6,6,0,0,0,3600000,360000,-90.00%,122,137520
"Hawk, Improved Surface to Air Missile","Hawk, Improved Surface to Air Missile",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,10,10,0,0,0,2335800,233580,-90.00%,122,89227.56
"Hawk, Improved Surface to Air Missile","Hawk, Improved Surface to Air Missile",FMS Sales,1/1/2019,Army,Spain,Service Authorized to Supply EDA,5/3/2019,200,200,0,0,0,46716000,4671600,-90.00%,122,1784551.2
M240B Machine Gun,M240B Machine Gun,Grant Authority,1/1/2019,Army,Bahrain,Service Authorized to Supply EDA,5/3/2019,300,300,0,0,0,2378100,237810,-90.00%,122,90843.42
"Aircraft, C-130H","Aircraft, C-130H",Grant Authority,1/1/2019,Air Force,Colombia,Service Authorized to Supply EDA,5/7/2019,2,2,0,0,0,60000000,24000000,-60.00%,126,2868000
FIRE SUPPORT COMBINED ARMS TACTICAL TRAINER,FIRE SUPPORT COMBINED ARMS TACTICAL TRAINER,Grant Authority,1/1/2019,Army,Brazil,Service Authorized to Supply EDA,5/9/2019,4,4,0,0,0,2028000,20800,-98.97%,128,71645.6
"LIGHTING, ALARM, SIGNAL, SECURITY SYSTEMS/PARTS","LIGHTING, ALARM, SIGNAL, SECURITY SYSTEMS/PARTS",Grant Authority,1/1/2016,Defense Logistics Agency (DLA),Israel,EDA Delivered,5/10/2019,0,0,0,0,2,811918.97,243575.69,-70.00%,1225,36211.58603
CAIMAN PLUS,CAIMAN PLUS,Grant Authority,1/1/2019,Army,Egypt,EDA Delivered,5/20/2019,67,67,0,0,46,49500000,2475000,-95.00%,139,1811700
"ENGINE,AIRCRAFT,TUR","ENGINE,AIRCRAFT,TUR",Grant Authority,1/1/2018,Army,Greece,EDA Delivered,5/21/2019,18,18,0,0,18,9998748,2999624.4,-70.00%,505,445944.1608
Fire support Combined Arms Tactical Trainers,FIRE SUPPORT COMBINED ARMS TACTICAL TRAINER,Grant Authority,1/1/2019,Army,Greece,Service Authorized to Supply EDA,5/23/2019,2,2,0,0,0,1014000,101400,-90.00%,142,38734.8
FIRE SUPPORT COMBINED ARMS TACTICAL TRAINER,FIRE SUPPORT COMBINED ARMS TACTICAL TRAINER,Grant Authority,1/1/2019,Army,Morocco,Service Authorized to Supply EDA,5/23/2019,8,8,0,0,0,4056000,405600,-90.00%,142,154939.2
"MK244-0 ARMOR PIERCING DISCARDING SABOT, LINKED","MK244-0 ARMOR PIERCING DISCARDING SABOT, LINKED",Grant Authority,1/1/2018,Army,Egypt,EDA Delivered,5/30/2019,6000,6000,0,0,600,161160,48360,-69.99%,514,7188.12
"TRUCK, LIFT FORK","TRUCK, LIFT, FORK",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,44569.13,4456.91,-90.00%,521,1702.54067
"COMMERCIAL, TRUCK, TRACTOR","COMMERCIAL, TRUCK, TRACTOR",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,2,116776,11677.6,-90.00%,521,4460.8432
"TRUCK, VAN WITHOUT WINCH 2 1/2 TON M1079","TRUCK, VAN 2 1/2 TON M1079A1 WITHOUT WINCH",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,124607,37382.1,-70.00%,521,5557.4722
"TRUCK, CARGO W/E 2 1/2 TON M1083","TRUCK, CARGO W/E 2 1/2 TON M1083",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,128076,38422.8,-70.00%,521,5712.1896
"TRUCK, WRECKER M1089","TRUCK WRECKER, M1089",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,268992,53798.4,-80.00%,521,11136.2688
"TRUCK, CARGO WI/E2 1/2 TON M1083A1","TRUCK, CARGO WI/E 2 1/2 TON M1083",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,184333,36866.6,-80.00%,521,7631.3862
"SEMITRAILER, LOW BED, 60 TON","SEMITRAILER, LOW BED, 60 TON",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,24810.64,2481.06,-90.00%,521,947.76632
"TRAILER, CARGO 3/4 TON M101A2","TRAILER, CARGO 3/4 TON M101A2",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,3894,778.8,-80.00%,521,161.2116
"SEMITRAILER,TANK , HET M100","SEMITRAILER,TANK , HET M100",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,229219,45843.8,-80.00%,521,9489.6666
"TRUCK, LIFT, FORK","TRUCK, LIFT, FORK",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,1,1,0,0,1,28972,2897.2,-90.00%,521,1106.7304
"TRUCK CARGO HEMTT, M985A1","TRUCK CARGO HEMTT, M985A1",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,351909,70381.8,-80.00%,156,14569.0326
TRUCK CARGO M1083A1 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,182089,36417.8,-80.00%,156,7538.4846
TRUCK CARGO M1083A1 W/W,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,182089,18208.9,-90.00%,156,6955.7998
TRUCK CARGO M1084A1 WOW,TRUCK CARGO M1084 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,218378,21837.8,-90.00%,156,8342.0396
TRUCK CARGO M1085A1 LWB,TRUCK CARGO M1085A1 LWB,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,170073,17007.3,-90.00%,156,6496.7886
"TRUCK WRECKER, M1089A1 WW","TRUCK WRECKER, M1089A1",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,331680,33168,-90.00%,156,12670.176
"TRUCK CARGO, M1086A1 LWB W/MHE","TRUCK CARGO, M1086A1 LWB W/MHE",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,193829,38765.8,-80.00%,156,8024.5206
"TRUCK,TANK HEMTT M978A2R1 WOW","TRUCK,TANK HEMTT M978A2R1 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,384130,76826,-80.00%,156,15902.982
"TRUCK,CARGO HEMTT M977A2R1 WW","TRUCK,CARGO HEMTT M977A2R1 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,328920,65784,-80.00%,156,13617.288
"TRUCK,CARGO HEMTT M977A2R1 WOW","TRUCK,CARGO HEMTT M977A2R1 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,328920,164460,-50.00%,156,16774.92
"TRAILER, CARGO 2.5 TON M1082","TRAILER, CARGO 2.5 TON M1082",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,35000,17500,-50.00%,156,1785
"TRAILER, CARGO 2.5 TON M1082","TRAILER, CARGO 2.5 TON M1082",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,35000,17500,-50.00%,156,1785
"TRUCK CARGO HEMTT, M977 WW","TRUCK CARGO HEMTT, M977 WW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,328920,32892,-90.00%,156,12564.744
"TRUCK TANK HEMMT, M978 WOW","TRUCK TANK HEMTT, M978 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,1,1,0,0,0,384130,115239,-70.00%,156,17132.198
"TRUCK, CARGO W/E 2 1/2 TON M1083","TRUCK, CARGO W/E 2 1/2 TON M1083",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,2,2,0,0,2,256152,51230.4,-80.00%,521,10604.6928
"TRUCK TANK HEMTT, M978 WOW","TRUCK TANK HEMTT, M978 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,2,2,0,0,0,768260,76826,-90.00%,156,29347.532
TRUCK CARGO M1085A1 LWB,TRUCK CARGO M1085A1 LWB,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,2,2,0,0,0,340146,102043.8,-70.00%,156,15170.5116
"TRUCK CARGO, HEMTT M985A2","TRUCK CARGO, HEMTT M985A2",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,2,2,0,0,0,723258,72325.8,-90.00%,156,27628.4556
"TRUCK,TANK HEMTT M978A2R1 WW","TRUCK,TANK HEMTT M978A2R1 WW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,2,2,0,0,0,792260,79226,-90.00%,156,30264.332
"TRUCK,CARGO HEMTT M977A2R1 WOW","TRUCK,CARGO HEMTT M977A2R1 WOW",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,2,2,0,0,0,657840,65784,-90.00%,156,25129.488
C-130H aircraft,"Aircraft, C-130H",Grant Authority,1/1/2019,Air Force,Tunisia,Service Authorized to Supply EDA,6/6/2019,2,2,0,0,0,60000000,24000000,-60.00%,156,2868000
"TRUCK, CARGO WITHOUT WINCH 2 1/2 TON M1078","TRUCK, CARGO WITHOUT WINCH 2 1/2 TON M1078",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,3,3,0,0,3,313878,94163.4,-70.00%,521,13998.9588
"TRUCK, TRACTOR M916A3","TRUCK TRACTOR, M916A3",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,3,3,0,0,3,498669,149600.7,-70.00%,521,22240.6374
"TRUCK CARGO HEMTT, M985","TRUCK CARGO HEMTT, M985",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,3,3,0,0,0,1084887,216977.4,-80.00%,156,44914.3218
TRUCK CARGO M1083A1 WOW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,3,3,0,0,0,546267,54626.7,-90.00%,156,20867.3994
"TRAILER, CARGO 2.5 TON M1082","TRAILER, CARGO 2.5 TON M1082",Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,3,3,0,0,0,105000,52500,-50.00%,156,5355
"TRUCK, CARGO WI/E 2 1/2 TON M1083","TRUCK, CARGO WI/E 2 1/2 TON M1083",Grant Authority,1/1/2018,Defense Logistics Agency (DLA),Moldova,EDA Delivered,6/6/2019,4,4,0,0,4,512304,51230.4,-90.00%,521,19570.0128
TRUCK CARGO M1084A1 WOW,TRUCK CARGO M1084 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,4,4,0,0,0,873512,174702.4,-80.00%,156,36163.3968
TRUCK CARGO M1083A1 WOW,TRUCK CARGO M1083A1 WOW,Grant Authority,1/1/2019,Defense Logistics Agency (DLA),Israel,Service Authorized to Supply EDA,6/6/2019,4,4,0,0,0,728356,145671.2,-80.00%,156,30153.9384
